Episode,Selected Happenings,Activated Features,Plot Text
1,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][FireHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
2,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][FireHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][LooseFriendHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
3,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][LooseFriendHappening][FoodStolenHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
4,[LooseFriendHappening][FoodPoisoningHappening][LooseFriendHappening][LooseFriendHappening][FoodPoisoningHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening FoodPoisoningHappening LooseFriendHappening LooseFriendHappening robinson is hungry. FoodPoisoningHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
5,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. EmptyHappening robinson is hungry. robinson looked for food. EmptyHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
6,[LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][StormHappening][EmptyHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isHungry-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening ShipRescueHappening LooseFriendHappening StormHappening robinson is hungry. EmptyHappening robinson is hungry. robinson looked for food. FoodStolenHappening robinson is hungry. robinson looked for food. FoodStolenHappening robinson is hungry. robinson looked for food. FoodStolenHappening robinson is hungry. robinson looked for food. FoodStolenHappening robinson has died. 
7,,,
8,[LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][FoodStolenHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening ShipRescueHappening LooseFriendHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
9,[FoodPoisoningHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][EmptyHappening][FoodPoisoningHappening][StormHappening][FoodStolenHappening][ShipRescueHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise-isSick][isAlive-isSick-isOnIsland-ownsFood][isAlive-isSick-isOnIsland-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-hasHut-ownsFood][isAlive-hasHut-ownsFood][isAlive-hasHut-ownsFood][isAlive-hasHut-ownsFood][isAlive-hasHut-ownsFood][isAlive-hasHut-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FoodPoisoningHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. StormHappening robinson looked for food. FoodStolenHappening robinson builds a hut. ShipRescueHappening robinson looked for food. HomesickHappening robinson is in the hut with the name cozy hut. robinson is asleep. robinson has left the hut with the name cozy hut. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening HomesickHappening ShipRescueHappening HomesickHappening HomesickHappening robinson is hungry. 
10,[LooseFriendHappening][LooseFriendHappening][EmptyHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening EmptyHappening FoodPoisoningHappening 
11,[LooseFriendHappening][StormHappening][FoodStolenHappening][FoodStolenHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][StormHappening][LooseFriendHappening][ShipRescueHappening][EmptyHappening][FireHappening][StormHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening StormHappening FoodStolenHappening FoodStolenHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. StormHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
12,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][StormHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. StormHappening 
13,[LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][StormHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. LooseFriendHappening LooseFriendHappening LooseFriendHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. StormHappening 
