Episode,Selected Happenings,Activated Features,Plot Text
1,[ShipRescueHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening ShipRescueHappening LooseFriendHappening LooseFriendHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
2,[StormHappening][LooseFriendHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][FoodPoisoningHappening][FoodStolenHappening][HomesickHappening][LooseFriendHappening][StormHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][ShipRescueHappening][EmptyHappening][StormHappening][ShipRescueHappening][FoodPoisoningHappening][EmptyHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][LooseFriendHappening][LooseFriendHappening][FireHappening][EmptyHappening][LooseFriendHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isSick][isAlive-isOnIsland-isSick-ownsFood][isAlive-isOnIsland-isSick][isAlive-isOnIsland-isSick-hasHut][isAlive-isOnIsland-isSick-ownsFood-hasHut][isAlive-isOnIsland-isSick-ownsFood-hasHut][isAlive-isOnIsland-hasHut][isAlive-isOnIsland-hasHut][isAlive-isOnIsland-hasHut-ownsFood][isAlive-hasHut][isAlive-hasHut-ownsFood][isAlive][isAlive-ownsFood][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood][isAlive-isSick][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood][isAlive-isSick][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood][isAlive-isSick][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood][isAlive-isSick][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening LooseFriendHappening HomesickHappening LooseFriendHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. FoodPoisoningHappening robinson is hungry. robinson eats food. robinson's hunger is 0. robinson is sick. FoodStolenHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson builds a hut. StormHappening robinson looked for food. robinson builds a hut. LooseFriendHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. robinson is in the hut with the name cozy hut. robinson is asleep. robinson has left the hut with the name cozy hut. EmptyHappening EmptyHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. EmptyHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening EmptyHappening robinson looked for food. LooseFriendHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening EmptyHappening robinson looked for food. LooseFriendHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening EmptyHappening robinson looked for food. LooseFriendHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening EmptyHappening robinson looked for food. LooseFriendHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. FireHappening EmptyHappening robinson looked for food. LooseFriendHappening LooseFriendHappening 
3,[ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][StormHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][FoodPoisoningHappening][StormHappening][FoodStolenHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-isHungry-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening ShipRescueHappening ShipRescueHappening ShipRescueHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
4,[FireHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][FoodPoisoningHappening][LooseFriendHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][FoodPoisoningHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][FireHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][HomesickHappening][LooseFriendHappening][LooseFriendHappening][EmptyHappening][HomesickHappening][LooseFriendHappening][FoodStolenHappening][HomesickHappening][EmptyHappening][LooseFriendHappening][EmptyHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise-isSick][isAlive-onCruise-isSick-ownsFood][isAlive-onCruise-isSick][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut-ownsFood][isAlive-onCruise-isSick-hasHut],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FireHappening ShipRescueHappening ShipRescueHappening ShipRescueHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. LooseFriendHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson builds a hut. ShipRescueHappening robinson builds a hut. FoodPoisoningHappening robinson looked for food. LooseFriendHappening robinson builds a hut. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson builds a hut. EmptyHappening robinson looked for food. robinson builds a hut. FireHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson builds a hut. EmptyHappening robinson looked for food. robinson builds a hut. HomesickHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson builds a hut. EmptyHappening robinson looked for food. HomesickHappening robinson builds a hut. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson builds a hut. HomesickHappening robinson looked for food. EmptyHappening robinson builds a hut. LooseFriendHappening robinson eats food. robinson's hunger is 0. EmptyHappening 
5,[FoodPoisoningHappening][ShipRescueHappening][ShipRescueHappening][FireHappening][HomesickHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][FireHappening][ShipRescueHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FoodPoisoningHappening ShipRescueHappening ShipRescueHappening FireHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
6,[ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][EmptyHappening][LooseFriendHappening][FireHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening ShipRescueHappening ShipRescueHappening ShipRescueHappening robinson is hungry. EmptyHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening 
7,[FireHappening][FoodPoisoningHappening][ShipRescueHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][FoodStolenHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FireHappening FoodPoisoningHappening ShipRescueHappening ShipRescueHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
8,[EmptyHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][StormHappening][FoodPoisoningHappening][LooseFriendHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening ShipRescueHappening ShipRescueHappening ShipRescueHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. HomesickHappening 
9,[StormHappening][FoodPoisoningHappening][FoodPoisoningHappening][LooseFriendHappening][FoodStolenHappening][LooseFriendHappening][FoodPoisoningHappening][LooseFriendHappening][FoodPoisoningHappening][LooseFriendHappening][FoodPoisoningHappening][LooseFriendHappening][FoodPoisoningHappening][FoodPoisoningHappening][EmptyHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-isSick],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening FoodPoisoningHappening FoodPoisoningHappening LooseFriendHappening robinson is hungry. FoodStolenHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. EmptyHappening 
10,[ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][FoodStolenHappening][LooseFriendHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][FireHappening][LooseFriendHappening][ShipRescueHappening][LooseFriendHappening][FoodStolenHappening][LooseFriendHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening ShipRescueHappening ShipRescueHappening FoodStolenHappening robinson is hungry. LooseFriendHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. LooseFriendHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
