Episode,Selected Happenings,Activated Features,Plot Text
1,[FoodPoisoningHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][HomesickHappening][FoodStolenHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][HomesickHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FoodPoisoningHappening HomesickHappening HomesickHappening HomesickHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening 
2,[FireHappening][EmptyHappening][EmptyHappening][EmptyHappening][HomesickHappening][ShipRescueHappening][EmptyHappening][HomesickHappening][EmptyHappening][HomesickHappening][HomesickHappening][HomesickHappening][EmptyHappening][HomesickHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FireHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening 
3,[HomesickHappening][HomesickHappening][HomesickHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][EmptyHappening][EmptyHappening][EmptyHappening][HomesickHappening][EmptyHappening][FoodStolenHappening][EmptyHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening HomesickHappening LooseFriendHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. EmptyHappening 
4,[HomesickHappening][HomesickHappening][FireHappening][EmptyHappening][HomesickHappening][ShipRescueHappening][EmptyHappening][StormHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][FoodPoisoningHappening][ShipRescueHappening][HomesickHappening][LooseFriendHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][StormHappening][FoodPoisoningHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][HomesickHappening][LooseFriendHappening][FoodPoisoningHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-isSick][isAlive-isOnIsland-isSick-ownsFood][isAlive-isOnIsland-isSick][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening FireHappening EmptyHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. FoodPoisoningHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. ShipRescueHappening robinson builds a hut. HomesickHappening robinson looked for food. robinson builds a hut. LooseFriendHappening FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. robinson builds a hut. HomesickHappening HomesickHappening robinson builds a hut. robinson looked for food. FoodPoisoningHappening FoodPoisoningHappening robinson builds a hut. StormHappening robinson eats food. robinson's hunger is 0. robinson is sick. FoodPoisoningHappening robinson builds a hut. HomesickHappening robinson looked for food. FoodPoisoningHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. HomesickHappening robinson builds a hut. robinson eats food. robinson's hunger is 0. FoodPoisoningHappening HomesickHappening robinson builds a hut. LooseFriendHappening robinson looked for food. FoodPoisoningHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. robinson builds a hut. FoodPoisoningHappening FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. robinson builds a hut. HomesickHappening HomesickHappening 
5,[EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][HomesickHappening][HomesickHappening][EmptyHappening][HomesickHappening][EmptyHappening][HomesickHappening][EmptyHappening][HomesickHappening][EmptyHappening][HomesickHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening 
6,[HomesickHappening][EmptyHappening][EmptyHappening][EmptyHappening][HomesickHappening][HomesickHappening][EmptyHappening][HomesickHappening][EmptyHappening][HomesickHappening][FireHappening][ShipRescueHappening][EmptyHappening][ShipRescueHappening][FireHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. FireHappening 
7,[HomesickHappening][HomesickHappening][HomesickHappening][FoodStolenHappening][FoodStolenHappening][HomesickHappening][LooseFriendHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][FireHappening][FireHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening HomesickHappening FoodStolenHappening robinson is hungry. FoodStolenHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. FireHappening 
8,[EmptyHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][EmptyHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][FireHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening HomesickHappening ShipRescueHappening HomesickHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. FireHappening 
9,[EmptyHappening][StormHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][LooseFriendHappening][ShipRescueHappening][FoodPoisoningHappening][HomesickHappening][FoodStolenHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FireHappening][FoodPoisoningHappening][HomesickHappening][LooseFriendHappening][HomesickHappening][FireHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][FoodPoisoningHappening][StormHappening][FoodPoisoningHappening][LooseFriendHappening][FoodPoisoningHappening][LooseFriendHappening][HomesickHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive-isSick][isAlive-isSick-ownsFood][isAlive-isSick-ownsFood-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick][isAlive-isSick-hasHut][isAlive-isSick-hasHut-ownsFood][isAlive-isSick-hasHut-ownsFood-foodIsPoisoned][isAlive-isSick-hasHut][isAlive-isSick-hasHut],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening StormHappening HomesickHappening HomesickHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson looked for food. FoodStolenHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. FireHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. LooseFriendHappening robinson builds a hut. HomesickHappening robinson looked for food. FireHappening robinson builds a hut. FoodPoisoningHappening robinson is hungry. robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. FoodPoisoningHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. FoodPoisoningHappening robinson builds a hut. FoodPoisoningHappening robinson eats food. robinson's hunger is 0. robinson is sick. HomesickHappening robinson builds a hut. HomesickHappening robinson looked for food. FoodPoisoningHappening robinson builds a hut. StormHappening robinson eats food. robinson's hunger is 0. robinson is sick. FoodPoisoningHappening robinson builds a hut. LooseFriendHappening robinson looked for food. robinson builds a hut. FoodPoisoningHappening LooseFriendHappening robinson eats food. robinson's hunger is 0. robinson is sick. robinson builds a hut. HomesickHappening HomesickHappening 
10,[HomesickHappening][StormHappening][HomesickHappening][HomesickHappening][HomesickHappening][FoodStolenHappening][HomesickHappening][FoodPoisoningHappening][FoodPoisoningHappening][FoodPoisoningHappening][FoodPoisoningHappening][FoodPoisoningHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening StormHappening HomesickHappening HomesickHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. FoodStolenHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodPoisoningHappening FoodPoisoningHappening FoodPoisoningHappening FoodPoisoningHappening FoodPoisoningHappening robinson is hungry. 
