Episode,Selected Happenings,Activated Features,Plot Text
1,[StormHappening][EmptyHappening][EmptyHappening][EmptyHappening][FoodPoisoningHappening][StormHappening][EmptyHappening][EmptyHappening][FireHappening][StormHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][FireHappening][StormHappening][EmptyHappening][StormHappening][FoodStolenHappening][StormHappening][EmptyHappening][EmptyHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-isBurning-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-isBurning][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. FoodPoisoningHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. StormHappening robinson has extinguished the fire. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. StormHappening robinson has extinguished the fire. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening 
2,[StormHappening][EmptyHappening][EmptyHappening][StormHappening][HomesickHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][StormHappening][FireHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-isBurning],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening EmptyHappening EmptyHappening StormHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. StormHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
3,[FireHappening][StormHappening][EmptyHappening][EmptyHappening][HomesickHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][EmptyHappening][HomesickHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][EmptyHappening][FireHappening][StormHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood-hasAtLeastOneFriend][isAlive-isOnIsland-isHomesick-hasAtLeastOneFriend][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-isBurning],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FireHappening robinson has extinguished the fire. StormHappening EmptyHappening EmptyHappening robinson is hungry. HomesickHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. EmptyHappening robinson has found a friend. robinson now has 1 friends. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson complained. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. StormHappening 
4,[StormHappening][HomesickHappening][EmptyHappening][HomesickHappening][FoodPoisoningHappening][StormHappening][EmptyHappening][StormHappening][FoodPoisoningHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland-hasAtLeastOneFriend][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening HomesickHappening robinson has found a friend. robinson now has 1 friends. EmptyHappening robinson complained. HomesickHappening robinson is hungry. FoodPoisoningHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening 
5,[FoodPoisoningHappening][LooseFriendHappening][StormHappening][EmptyHappening][StormHappening][StormHappening][HomesickHappening][StormHappening][FoodStolenHappening][StormHappening][HomesickHappening][EmptyHappening][StormHappening][FireHappening][EmptyHappening][EmptyHappening][StormHappening][StormHappening][EmptyHappening][EmptyHappening][EmptyHappening][FoodStolenHappening][StormHappening][StormHappening][EmptyHappening][EmptyHappening][LooseFriendHappening][EmptyHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood-hasAtLeastOneFriend][isAlive-isOnIsland-hasAtLeastOneFriend-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood-isHomesick][isAlive-isOnIsland-ownsFood-isHomesick][isAlive-isOnIsland-ownsFood-isHomesick][isAlive-isOnIsland-ownsFood-isHomesick][isAlive-isOnIsland-ownsFood-isHomesick][isAlive-isOnIsland-ownsFood-isHomesick-isHungry][isAlive-isOnIsland-ownsFood-isHomesick-isHungry][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood][isAlive-isOnIsland-isHomesick-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FoodPoisoningHappening LooseFriendHappening StormHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. StormHappening robinson has found a friend. robinson now has 1 friends. FoodStolenHappening robinson looked for food. StormHappening robinson complained. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson complained. StormHappening FireHappening robinson has extinguished the fire. EmptyHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. EmptyHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FoodStolenHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. StormHappening EmptyHappening EmptyHappening LooseFriendHappening robinson has lost a friend. robinson now has 0 friends. EmptyHappening robinson is hungry. 
6,[ShipRescueHappening][FireHappening][StormHappening][EmptyHappening][StormHappening][ShipRescueHappening][HomesickHappening][StormHappening][StormHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive-ownsFood-hasAtLeastOneFriend],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening FireHappening robinson has extinguished the fire. StormHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. StormHappening robinson has found a friend. robinson now has 1 friends. StormHappening 
7,[StormHappening][LooseFriendHappening][EmptyHappening][EmptyHappening][StormHappening][StormHappening][EmptyHappening][FoodStolenHappening][ShipRescueHappening][StormHappening][StormHappening][LooseFriendHappening][StormHappening][StormHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-ownsFood][isAlive-ownsFood][isAlive-ownsFood][isAlive-ownsFood][isAlive-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening LooseFriendHappening EmptyHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. StormHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FoodStolenHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. StormHappening StormHappening LooseFriendHappening StormHappening StormHappening robinson is hungry. 
8,[EmptyHappening][StormHappening][EmptyHappening][FoodStolenHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening StormHappening EmptyHappening FoodStolenHappening 
9,[StormHappening][EmptyHappening][FoodStolenHappening][EmptyHappening][StormHappening][HomesickHappening][FoodStolenHappening][StormHappening][StormHappening][StormHappening][EmptyHappening][StormHappening][EmptyHappening][StormHappening][FoodStolenHappening][StormHappening][FoodStolenHappening][StormHappening][EmptyHappening][StormHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-hasAtLeastOneFriend-ownsFood][isAlive-isOnIsland-hasAtLeastOneFriend-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening EmptyHappening FoodStolenHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. HomesickHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson has found a friend. robinson now has 1 friends. robinson looked for food. StormHappening StormHappening robinson complained. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening 
10,[StormHappening][EmptyHappening][EmptyHappening][EmptyHappening][StormHappening][FireHappening][StormHappening][EmptyHappening][FoodStolenHappening][FoodStolenHappening][FireHappening][StormHappening][StormHappening][FoodStolenHappening][EmptyHappening][EmptyHappening][EmptyHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland-isHungry][isAlive-isOnIsland-isHungry-ownsFood][isAlive-isOnIsland-isBurning][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland][isAlive-isOnIsland],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. StormHappening robinson is hungry. robinson looked for food. FireHappening robinson is hungry. robinson eats food. robinson's hunger is 0. StormHappening robinson has extinguished the fire. EmptyHappening robinson looked for food. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson looked for food. FireHappening robinson is hungry. robinson eats food. robinson's hunger is 0. robinson has extinguished the fire. StormHappening StormHappening FoodStolenHappening EmptyHappening EmptyHappening EmptyHappening robinson is hungry. 
