Episode,Selected Happenings,Activated Features,Plot Text
1,[EmptyHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][FireHappening][ShipRescueHappening][ShipRescueHappening][EmptyHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][FoodPoisoningHappening][HomesickHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. EmptyHappening HomesickHappening ShipRescueHappening ShipRescueHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. FireHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
2,[ShipRescueHappening][FoodPoisoningHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening FoodPoisoningHappening ShipRescueHappening ShipRescueHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
3,[HomesickHappening][HomesickHappening][EmptyHappening][FireHappening][ShipRescueHappening][ShipRescueHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][FoodStolenHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening EmptyHappening FireHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening 
4,[HomesickHappening][StormHappening][ShipRescueHappening][FoodPoisoningHappening][ShipRescueHappening][LooseFriendHappening][FoodStolenHappening][FoodStolenHappening][FoodPoisoningHappening][FireHappening][FoodStolenHappening][FoodStolenHappening][EmptyHappening][FoodStolenHappening][FoodStolenHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland][isAlive][isAlive-isHungry][isAlive-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening StormHappening ShipRescueHappening FoodPoisoningHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. FireHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening 
5,[HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening][FoodPoisoningHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening HomesickHappening HomesickHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodPoisoningHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening 
6,[ShipRescueHappening][ShipRescueHappening][ShipRescueHappening][StormHappening][ShipRescueHappening][LooseFriendHappening][FoodStolenHappening][FoodStolenHappening][LooseFriendHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FireHappening][FoodStolenHappening][LooseFriendHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-isOnIsland-isHungry][isAlive-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. ShipRescueHappening ShipRescueHappening ShipRescueHappening StormHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. LooseFriendHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. LooseFriendHappening 
7,[StormHappening][ShipRescueHappening][FoodStolenHappening][FoodStolenHappening][ShipRescueHappening][ShipRescueHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][HomesickHappening],[isAlive-onCruise][isAlive-isOnIsland][isAlive][isAlive][isAlive-isHungry][isAlive-isHungry-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. StormHappening ShipRescueHappening FoodStolenHappening FoodStolenHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. HomesickHappening 
8,[HomesickHappening][HomesickHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][StormHappening][ShipRescueHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening][FoodStolenHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-isOnIsland][isAlive-ownsFood][isAlive][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening HomesickHappening HomesickHappening HomesickHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening robinson looked for food. FoodStolenHappening robinson eats food. robinson's hunger is 0. FoodStolenHappening 
9,[FoodStolenHappening][HomesickHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening][FireHappening][ShipRescueHappening][HomesickHappening][StormHappening][EmptyHappening][StormHappening][ShipRescueHappening][StormHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-isOnIsland][isAlive-isOnIsland-ownsFood][isAlive-isOnIsland][isAlive-ownsFood][isAlive],robinson went on a cruise. robinson is on a ship with the name magnificent ship. FoodStolenHappening HomesickHappening HomesickHappening HomesickHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. FireHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. ShipRescueHappening robinson looked for food. StormHappening robinson eats food. robinson's hunger is 0. HomesickHappening 
10,[HomesickHappening][FoodPoisoningHappening][HomesickHappening][HomesickHappening][ShipRescueHappening][ShipRescueHappening][EmptyHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][ShipRescueHappening][HomesickHappening][HomesickHappening][HomesickHappening],[isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise][isAlive-onCruise-isHungry][isAlive-onCruise-isHungry-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise][isAlive-onCruise-ownsFood][isAlive-onCruise],robinson went on a cruise. robinson is on a ship with the name magnificent ship. HomesickHappening FoodPoisoningHappening HomesickHappening HomesickHappening robinson is hungry. ShipRescueHappening robinson is hungry. robinson looked for food. ShipRescueHappening robinson is hungry. robinson eats food. robinson's hunger is 0. EmptyHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. ShipRescueHappening robinson eats food. robinson's hunger is 0. HomesickHappening robinson looked for food. HomesickHappening robinson eats food. robinson's hunger is 0. HomesickHappening 
